requestId;registeredLetterCode;productType;statusDateTime
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-1.RECINDEX_0.PCRETRY_0;R14700009350;RS;2024-03-08T09:50:22Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-2.RECINDEX_0.PCRETRY_0;R14700009351;RS;2024-03-08T09:50:23Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-3.RECINDEX_0.PCRETRY_0;R14700009352;RS;2024-03-08T09:50:24Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-4.RECINDEX_0.PCRETRY_0;R14700009353;RS;2024-03-08T09:50:25Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-5.RECINDEX_0.PCRETRY_0;R14700009354;RS;2024-03-08T09:50:26Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-6.RECINDEX_0.PCRETRY_0;R14700009355;RS;2024-03-08T09:50:27Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-7.RECINDEX_0.PCRETRY_0;R14700009356;RS;2024-03-08T09:50:28Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-8.RECINDEX_0.PCRETRY_0;R14700009357;RS;2024-03-08T09:50:29Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-9.RECINDEX_0.PCRETRY_0;R14700009358;RS;2024-03-08T09:50:30Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-W-0.RECINDEX_0.PCRETRY_0;R14700009359;RS;2024-03-08T09:50:31Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-Z-1.RECINDEX_0.PCRETRY_0;R14700009360;RS;2024-03-08T09:50:32Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-Z-2.RECINDEX_0.PCRETRY_0;R14700009361;RS;2024-03-08T09:50:33Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-Z-3.RECINDEX_0.PCRETRY_0;R14700009362;RS;2024-03-08T09:50:34Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-Z-4.RECINDEX_0.PCRETRY_0;R14700009363;RS;2024-03-08T09:50:35Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-Z-5.RECINDEX_0.PCRETRY_0;R14700009364;RS;2024-03-08T09:50:36Z
PREPARE_SIMPLE_REGISTERED_LETTER.IUN_RMWX-KLUZ-GPYH-202402-Z-6.RECINDEX_0.PCRETRY_0;R14700009365;RS;2024-03-08T09:50:37Z
